poi,text,like_count,published_at,video_id,video_title,sentiment,sentiment_score
Wat Phra Singh,"I have never forgot these memorable moments that I used to travel to Thai Land for 8 months ago . The first country where i travelled oversea . It helped me learn a lot of cultures ,food and reconized these new things from the life . Addition , i had improved my softskill and recharged my battery after i went back hometown",64,2025-01-12T13:47:29Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.6828
Wat Phra Singh,"Nice representation, I'm English but have lived in Chiang Mai for 25 years...and music..cool as ever..thanks.",33,2025-02-02T07:20:00Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8882
Wat Phra Singh,This is one of the most beautiful visits to Chiang Mai I have ever seen. We were there a few times starting in 1998 and it is amazing how much it has changed... even the silo (bus/taxi) had new seat covers ! Thank you so much for your excellent videography and commentaries. I look forward to watching your other productions.,55,2024-11-27T17:42:56Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8918
Wat Phra Singh,"I live in Chiangmai and i love your video a lot, it's beautiful & peaceful Chiangmai",35,2024-11-19T03:20:00Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9139
Wat Phra Singh,"Cool, that atmosphere is different than in Bangkok, Pattaya or Phuket. Feels like you are indeed surrounded by a jungle. Nature all around you and that colonial style and feeling is still in the air.",3,2025-03-25T17:16:35Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.6778
Wat Phra Singh,Very nice. Beautiful place to vacation ❤,1,2026-02-24T05:51:10Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9334
Wat Phra Singh,"Chiang Mai is such a beautiful place 😍🇹🇭
We were there recently and absolutely loved it!",0,2026-03-29T08:22:31Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.926
Wat Phra Singh,I visited Chiang Mai in 1990. It has really developed in the last 35 years. I have a couple of friends who moved from the Big Island of Hawaii to Chiang Mai years ago. Your travel vlog makes me want to return. Thank you for sharing your experiences. The Buddha smiles.,30,2025-02-06T03:52:01Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8872
Wat Phra Singh,"Thailand is full of fascinating things and delicious food, with wonderful wonders to explore.",2,2025-05-24T01:52:34Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9121
Wat Phra Singh,"Thank you for this vlog, you see with beauty.  Chang Mai is one of my favourite places in the world.  I love that you've highlighted the more sophisticated, mellow, creative and stylish aspects of the city.  I've been to Wat Phra That Doi Suthep many times but didn't know about Wat Pha Lat so will definitely be visiting next time I visit.  Kop Kun Ka.",3,2025-04-30T14:09:28Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8545
Wat Phra Singh,Such a beautiful and calming video! I haven’t been to chiang mai in many years and it’s amazing to see the changes. I was watching the doi suthep temple section and was overwhelmed with its ornate design when I realized I’d been there before on a meditation retreat! Thank you for sharing your lovely adventure ❤,2,2025-03-09T14:59:04Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.7785
Wat Phra Singh,"Eat, temple, eat, eat, window shopping, repeat.",0,2026-03-21T13:17:24Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.5545
Wat Phra Singh,Perfect vacation! Can’t wait to go to thailand❤,0,2025-03-31T09:09:49Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9014
Wat Phra Singh,"Wow, I’ve been to Chiang Mai so many times but never seen this aesthetic as your trip. I’m going to Chiang Mai again soon. Thank you for sharing this vlog; such a great inspirational.",0,2025-05-04T13:38:35Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9309
Wat Phra Singh,Thank you - planning a trip to Chiang Mai in a few months for about the same duration. This is a great itinerary!,0,2025-06-11T01:33:36Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9159
Wat Phra Singh,"Amazing and beautiful video! I really love Chiang Mai – such a special place with great atmosphere, culture, and food. Always a pleasure to see it!",0,2025-05-23T11:42:36Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9511
Wat Phra Singh,Amazing and beautiful video !!  Love Chiang Mai!  Will miss it again when I leave in two days time :-(.,0,2025-05-13T17:04:10Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.59
Wat Phra Singh,I love this vlog! 😍 it makes me wanna visit Chiang Mai soon! ❤,0,2025-02-08T21:43:01Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9184
Wat Phra Singh,Thank you for sharing your beautiful video of your trip to Chiang Mai! Makes me want to plan a trip :),0,2025-02-19T14:37:15Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9239
Wat Phra Singh,"I love what you’ve done with this video. I hope it’s the format you’re using for all your videos. Your subtitle format without a voiceover was refreshing. Your photography skills are excellent. You edited back-to-back shots of the tower at Neiman One which I thought was odd but I’ll forgive you for that ha ha. I’ve lived here for a while, so I was curious to see which places you chose to highlight, and I learned of Kalm. So we’re going tomorrow. ChiangMai never ceases to amaze me. There’s always some new spot that I don’t know about that pops up. Good work. Refreshing. I never wanna hear another AI voice over again.",0,2025-08-04T12:21:47Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8642
Wat Phra Singh,"Thank you for a nicely shot vlog! 👍

We have visited 🇨🇷 several times, but never in North. Based on this vid we definitrly should! 

The vibe looks different. Probably it is so too.",0,2025-05-17T05:50:18Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8997
Wat Phra Singh,"Your vlogs are ""Eye Soothing"" to watch and I mean it. We travelled Thailand back in 2018 (that was our first overseas tour) and it was a rush tour. Only Bangkok, Phuket and Phi Phi. We hadn’t been to Khao San Road & ChatuChak market!!!  Can you beleive!! However, we are again planning for Thailand this year (if God wishes) and Chiang Mai and Krabi is a must; also, Phuket. Will gradually see your Bangkok vlog. Take love from Bangladesh ❤❤❤",1,2025-04-02T07:52:10Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.4845
